,PRN+SBAR,SINV,S+ADJP,SBAR+S,VP+VP,NP+S,NP+SBAR,NP+SBAR+WHNP+S+VP,S,UCP,LST,S+VP,FRAG,S+SBAR,SBARQ+SQ,NP+VP,SQ+FRAG,FRAG+SBAR,SBAR+SINV,SBARQ,NP+SBAR+S,SQ+VP+VP,NAC,SBAR,ADJP,WHADVP,NP+QP,SQ+VP,PP,WHPP,PRN,NX,PRT,NX+NX,NP,S+NP,INTJ,VP,NP+S+VP,CONJP,ADVP,SBAR+S+VP,QP,SQ,WHADJP,WHNP
NAC,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.009760425909494231,0.043478260869565216,0.0010679725981783557,0.021414665801427646,0.043478260869565216,0.000371032482207306,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.004257515159334279
PRP$,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.009760425909494231,0.043478260869565216,0.028153057122321436,0.021414665801427646,0.043478260869565216,0.000371032482207306,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.004257515159334279
SBAR,0.010472865756902571,0.009138742730545556,0.20061022120518687,0.0022883295194508014,0.14850367024280067,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.034995609200127065,0.17066839714471124,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.015515308831337385,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.007767428368840043,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.009760425909494231,0.043478260869565216,0.01787940437178441,0.021414665801427646,0.043478260869565216,0.08829448735678708,0.043478260869565216,0.021414665801427646,0.017673543444660978,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.004257515159334279
WP$,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.009760425909494231,0.043478260869565216,0.0001340041663113526,0.021414665801427646,0.043478260869565216,0.000371032482207306,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.06360469616823636
WDT,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.009760425909494231,0.043478260869565216,0.0001340041663113526,0.021414665801427646,0.043478260869565216,0.000371032482207306,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.538382144239453
JJ,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.17066839714471124,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.7460972777706103,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.005296462221076268,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.009760425909494231,0.043478260869565216,0.16077657444743584,0.021414665801427646,0.043478260869565216,0.0029570164491067113,0.043478260869565216,0.021414665801427646,0.03312949398561925,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.20061022120518687,0.004257515159334279
WP,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.009760425909494231,0.043478260869565216,0.0010679725981783557,0.021414665801427646,0.043478260869565216,0.000371032482207306,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.21197264869049154
RP,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.6900325347530317,0.043478260869565216,0.0001340041663113526,0.021414665801427646,0.043478260869565216,0.000371032482207306,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.004257515159334279
$,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.009760425909494231,0.043478260869565216,0.0001340041663113526,0.021414665801427646,0.043478260869565216,0.000371032482207306,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.004257515159334279
PRN,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.009211337605799595,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.009760425909494231,0.043478260869565216,0.0048038463256463645,0.021414665801427646,0.043478260869565216,0.000371032482207306,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.004257515159334279
",",0.010472865756902571,0.3276100803101634,0.02517162471395881,0.018237292836835173,0.14850367024280067,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.21548551036041927,0.17066839714471124,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.8606568275495279,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.20061022120518687,0.001946787800129785,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.183203270159792,0.13143428285857073,0.009760425909494231,0.043478260869565216,0.01974734123551841,0.021414665801427646,0.043478260869565216,0.039160791985698384,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.004257515159334279
