,PRN+SBAR,SINV,S+ADJP,SBAR+S,VP+VP,NP+S,NP+SBAR,NP+SBAR+WHNP+S+VP,S,UCP,LST,S+VP,FRAG,S+SBAR,SBARQ+SQ,NP+VP,SQ+FRAG,FRAG+SBAR,SBAR+SINV,SBARQ,NP+SBAR+S,SQ+VP+VP,NAC,SBAR,ADJP,WHADVP,NP+QP,SQ+VP,PP,WHPP,PRN,NX,PRT,NX+NX,NP,S+NP,INTJ,VP,NP+S+VP,CONJP,ADVP,SBAR+S+VP,QP,SQ,WHADJP,WHNP
NAC,0.009138742730545556,0.006053935057787562,0.01226309921962096,0.0013322029792902992,0.021414665801427646,0.004673558985979323,0.021414665801427646,0.021414665801427646,0.00032556900583064494,0.01129750085587128,0.02517162471395881,0.0009098177607454992,0.009760425909494231,0.0020585116337096874,0.008591512626920074,0.02517162471395881,0.009760425909494231,0.021414665801427646,0.043478260869565216,0.006931316950220543,0.0031395680715440967,0.02517162471395881,0.014791573285522188,0.0010270455323519343,0.0014992503748125937,0.008106116433308769,0.021414665801427646,0.043478260869565216,0.00020273881711115616,0.014791573285522188,0.007672634271099744,0.01129750085587128,0.007672634271099744,0.02517162471395881,0.002577280283043325,0.043478260869565216,0.018633540372670808,0.00019318467869875483,0.02517162471395881,0.02517162471395881,0.0012400886851302096,0.018633540372670808,0.018633540372670808,0.006931316950220543,0.043478260869565216,0.0023254175181453033
PRP$,0.009138742730545556,0.006053935057787562,0.01226309921962096,0.0013322029792902992,0.021414665801427646,0.004673558985979323,0.021414665801427646,0.021414665801427646,0.00032556900583064494,0.01129750085587128,0.02517162471395881,0.0009098177607454992,0.009760425909494231,0.0020585116337096874,0.008591512626920074,0.02517162471395881,0.009760425909494231,0.021414665801427646,0.043478260869565216,0.006931316950220543,0.0031395680715440967,0.02517162471395881,0.014791573285522188,0.0010270455323519343,0.0014992503748125937,0.008106116433308769,0.021414665801427646,0.043478260869565216,0.00020273881711115616,0.014791573285522188,0.007672634271099744,0.01129750085587128,0.007672634271099744,0.02517162471395881,0.03614946047044624,0.043478260869565216,0.018633540372670808,0.00019318467869875483,0.02517162471395881,0.02517162471395881,0.0012400886851302096,0.018633540372670808,0.018633540372670808,0.006931316950220543,0.043478260869565216,0.0023254175181453033
SBAR,0.009138742730545556,0.006053935057787562,0.3541434410999628,0.0013322029792902992,0.17066839714471124,0.004673558985979323,0.021414665801427646,0.021414665801427646,0.03436232870630716,0.16877781581650125,0.02517162471395881,0.019933280030878662,0.14581484767820174,0.0020585116337096874,0.008591512626920074,0.02517162471395881,0.009760425909494231,0.021414665801427646,0.043478260869565216,0.006931316950220543,0.0031395680715440967,0.02517162471395881,0.014791573285522188,0.008185241666926022,0.011948571168960974,0.008106116433308769,0.021414665801427646,0.043478260869565216,0.00020273881711115616,0.014791573285522188,0.06114857009997676,0.01129750085587128,0.007672634271099744,0.02517162471395881,0.012598826607641212,0.043478260869565216,0.018633540372670808,0.1038689622470305,0.02517162471395881,0.02517162471395881,0.009883131036037728,0.018633540372670808,0.018633540372670808,0.006931316950220543,0.043478260869565216,0.0023254175181453033
WP$,0.009138742730545556,0.006053935057787562,0.01226309921962096,0.0013322029792902992,0.021414665801427646,0.004673558985979323,0.021414665801427646,0.021414665801427646,0.00032556900583064494,0.01129750085587128,0.02517162471395881,0.0009098177607454992,0.009760425909494231,0.0020585116337096874,0.008591512626920074,0.02517162471395881,0.009760425909494231,0.021414665801427646,0.043478260869565216,0.006931316950220543,0.0031395680715440967,0.02517162471395881,0.014791573285522188,0.0010270455323519343,0.0014992503748125937,0.008106116433308769,0.021414665801427646,0.043478260869565216,0.00020273881711115616,0.014791573285522188,0.007672634271099744,0.01129750085587128,0.007672634271099744,0.02517162471395881,7.189370189385441e-05,0.043478260869565216,0.018633540372670808,0.00019318467869875483,0.02517162471395881,0.02517162471395881,0.0012400886851302096,0.018633540372670808,0.018633540372670808,0.006931316950220543,0.043478260869565216,0.034740328377140445
WDT,0.009138742730545556,0.006053935057787562,0.01226309921962096,0.0013322029792902992,0.021414665801427646,0.004673558985979323,0.021414665801427646,0.021414665801427646,0.00032556900583064494,0.01129750085587128,0.02517162471395881,0.0009098177607454992,0.009760425909494231,0.0020585116337096874,0.008591512626920074,0.02517162471395881,0.009760425909494231,0.021414665801427646,0.043478260869565216,0.006931316950220543,0.0031395680715440967,0.02517162471395881,0.014791573285522188,0.0010270455323519343,0.0014992503748125937,0.008106116433308769,0.021414665801427646,0.043478260869565216,0.00020273881711115616,0.014791573285522188,0.007672634271099744,0.01129750085587128,0.007672634271099744,0.02517162471395881,7.189370189385441e-05,0.043478260869565216,0.018633540372670808,0.00019318467869875483,0.02517162471395881,0.02517162471395881,0.0012400886851302096,0.018633540372670808,0.018633540372670808,0.006931316950220543,0.043478260869565216,0.35888943696709186
JJ,0.009138742730545556,0.006053935057787562,0.183203270159792,0.0013322029792902992,0.021414665801427646,0.004673558985979323,0.021414665801427646,0.021414665801427646,0.00032556900583064494,0.24751797329681616,0.02517162471395881,0.0009098177607454992,0.009760425909494231,0.0020585116337096874,0.008591512626920074,0.02517162471395881,0.009760425909494231,0.021414665801427646,0.043478260869565216,0.006931316950220543,0.0031395680715440967,0.02517162471395881,0.014791573285522188,0.0010270455323519343,0.8583435554949796,0.008106116433308769,0.021414665801427646,0.043478260869565216,0.0016157669363707295,0.014791573285522188,0.007672634271099744,0.01129750085587128,0.007672634271099744,0.20061022120518687,0.16993710390382802,0.043478260869565216,0.018633540372670808,0.005578939357573132,0.02517162471395881,0.02517162471395881,0.044455300439667805,0.018633540372670808,0.018633540372670808,0.006931316950220543,0.043478260869565216,0.0023254175181453033
WP,0.009138742730545556,0.006053935057787562,0.01226309921962096,0.0013322029792902992,0.021414665801427646,0.004673558985979323,0.021414665801427646,0.021414665801427646,0.00032556900583064494,0.01129750085587128,0.02517162471395881,0.0009098177607454992,0.009760425909494231,0.0020585116337096874,0.008591512626920074,0.02517162471395881,0.009760425909494231,0.021414665801427646,0.043478260869565216,0.006931316950220543,0.0031395680715440967,0.02517162471395881,0.014791573285522188,0.0010270455323519343,0.0014992503748125937,0.008106116433308769,0.021414665801427646,0.043478260869565216,0.00020273881711115616,0.014791573285522188,0.007672634271099744,0.01129750085587128,0.007672634271099744,0.02517162471395881,0.0005729710181237487,0.043478260869565216,0.018633540372670808,0.00019318467869875483,0.02517162471395881,0.02517162471395881,0.0012400886851302096,0.018633540372670808,0.018633540372670808,0.006931316950220543,0.043478260869565216,0.537171446691565
RP,0.009138742730545556,0.006053935057787562,0.01226309921962096,0.0013322029792902992,0.021414665801427646,0.004673558985979323,0.021414665801427646,0.021414665801427646,0.00032556900583064494,0.01129750085587128,0.02517162471395881,0.0009098177607454992,0.009760425909494231,0.0020585116337096874,0.008591512626920074,0.02517162471395881,0.009760425909494231,0.021414665801427646,0.043478260869565216,0.006931316950220543,0.0031395680715440967,0.02517162471395881,0.014791573285522188,0.0010270455323519343,0.0014992503748125937,0.008106116433308769,0.021414665801427646,0.043478260869565216,0.00020273881711115616,0.014791573285522188,0.007672634271099744,0.01129750085587128,0.7563357358753778,0.02517162471395881,7.189370189385441e-05,0.043478260869565216,0.018633540372670808,0.00019318467869875483,0.02517162471395881,0.02517162471395881,0.0012400886851302096,0.018633540372670808,0.018633540372670808,0.006931316950220543,0.043478260869565216,0.0023254175181453033
$,0.009138742730545556,0.006053935057787562,0.01226309921962096,0.0013322029792902992,0.021414665801427646,0.004673558985979323,0.021414665801427646,0.021414665801427646,0.00032556900583064494,0.01129750085587128,0.02517162471395881,0.0009098177607454992,0.009760425909494231,0.0020585116337096874,0.008591512626920074,0.02517162471395881,0.009760425909494231,0.021414665801427646,0.043478260869565216,0.006931316950220543,0.0031395680715440967,0.02517162471395881,0.014791573285522188,0.0010270455323519343,0.0014992503748125937,0.008106116433308769,0.17066839714471124,0.043478260869565216,0.00020273881711115616,0.014791573285522188,0.007672634271099744,0.01129750085587128,0.007672634271099744,0.02517162471395881,0.0015751256505835373,0.043478260869565216,0.018633540372670808,0.00019318467869875483,0.02517162471395881,0.02517162471395881,0.0012400886851302096,0.018633540372670808,0.018633540372670808,0.006931316950220543,0.043478260869565216,0.0023254175181453033
PRN,0.009138742730545556,0.04824802788479179,0.01226309921962096,0.0013322029792902992,0.021414665801427646,0.004673558985979323,0.021414665801427646,0.021414665801427646,0.016209390199386352,0.01129750085587128,0.02517162471395881,0.0009098177607454992,0.009760425909494231,0.0020585116337096874,0.008591512626920074,0.02517162471395881,0.009760425909494231,0.021414665801427646,0.043478260869565216,0.006931316950220543,0.0031395680715440967,0.02517162471395881,0.014791573285522188,0.0010270455323519343,0.0014992503748125937,0.008106116433308769,0.021414665801427646,0.043478260869565216,0.00020273881711115616,0.014791573285522188,0.007672634271099744,0.01129750085587128,0.007672634271099744,0.02517162471395881,0.00307835759927322,0.043478260869565216,0.018633540372670808,0.00019318467869875483,0.02517162471395881,0.02517162471395881,0.0012400886851302096,0.018633540372670808,0.018633540372670808,0.006931316950220543,0.043478260869565216,0.0023254175181453033
